Trip ID,SURVEYZONE_START,SURVEYZONE_END,qGENDER,qINCOME,qRACECODE,qCARACCESS,qPurposeRecode,Day Grouping,Within Zone?,Income Group,Purpose Grouping,qSustainableMode
1174,Northern Manhattan,Northern Manhattan,Male,"200,000 and above",White,own car,Shopping,Weekday,within,high income,Social,Yes
1175,Staten Island,Staten Island,Female,"50,000 -  74,999",White,own car,Dining,Weekday,within,low income,Social,No
1176,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Asian,NO car,Dining,Weekday,within,middle income,Social,Yes
1177,Northern Manhattan,Northern Bronx,Male," 75,000 -  99,999",White,own car,Dining,Weekday,outside,middle income,Social,No
1178,Manhattan Core,Outer Queens,Female,"15,000− 24,999",Asian,own car,Social/recreation,Weekday,outside,low income,Social,Yes
1179,Staten Island,Staten Island,Female,"15,000− 24,999",White,NO car,Personal errands,Weekday,within,low income,Others,Yes
1180,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",Black,own car,Dining,Weekday,within,middle income,Social,Yes
1181,Manhattan Core,Staten Island,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1182,Southern Bronx,Southern Bronx,Female,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1183,Northern Manhattan,Northern Manhattan,Female,"150,000− 199,999",Black,NO car,Other,Weekday,within,high income,Others,Yes
1184,Inner Brooklyn,Manhattan Core,Female,"50,000 -  74,999",Hispanic,NO car,Other,Weekday,outside,low income,Others,Yes
1185,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1186,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
1187,Staten Island,Staten Island,Male,"150,000− 199,999",White,own car,Dining,Weekday,within,high income,Social,No
1188,Northern Bronx,Northern Bronx,Female,"100,000− 149,999",Hispanic,NO car,Social/recreation,Weekday,within,middle income,Social,No
1189,Southern Bronx,Southern Bronx,Male,"35,000− 49,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
1190,Inner Queens,Inner Queens,Male,"15,000− 24,999",Hispanic,own car,Personal errands,Weekday,within,low income,Others,Yes
1191,Manhattan Core,Manhattan Core,Male,"50,000 -  74,999",Black,own car,Dining,Weekday,within,low income,Social,Yes
1192,Outer Queens,Outer Queens,Female,"200,000 and above",Black,own car,Accompanying other traveler,Weekday,within,high income,Others,No
1193,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",White,NO car,Dining,Weekday,within,middle income,Social,Yes
1194,Outer Queens,Middle Queens,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,No
1195,Outer Queens,Staten Island,Female,"35,000− 49,999",White,own car,Shopping,Weekday,outside,low income,Social,No
1196,Inner Queens,Inner Queens,Male,"100,000− 149,999",Asian,own car,Dining,Weekday,within,middle income,Social,No
1197,Middle Queens,Middle Queens,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
1198,Manhattan Core,Manhattan Core,Female,"Less than 14,999",Black,NO car,Shopping,Weekday,within,low income,Social,Yes
1199,Outer Queens,Inner Queens,Female,"150,000− 199,999",White,own car,Commute to/from work,Weekday,outside,high income,Work/School,No
1200,Northern Manhattan,Northern Manhattan,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,Yes
1201,Northern Manhattan,Staten Island,Male,"150,000− 199,999",White,own car,Social/recreation,Weekday,outside,high income,Social,No
1202,Staten Island,Staten Island,Female,"15,000− 24,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,No
1203,Staten Island,Staten Island,Male," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
1204,Northern Bronx,Northern Bronx,Male,"15,000− 24,999",Black,NO car,Other,Weekday,within,low income,Others,Yes
1205,Outer Queens,Middle Queens,Male,"100,000− 149,999",White,NO car,Shopping,Weekday,outside,middle income,Social,No
1206,Staten Island,Staten Island,Female,"100,000− 149,999",White,own car,Shopping,Weekday,within,middle income,Social,No
1207,Inner Brooklyn,Northern Bronx,Female,"150,000− 199,999",Hispanic,own car,Social/recreation,Weekday,outside,high income,Social,No
1208,Inner Brooklyn,Inner Brooklyn,Female,"15,000− 24,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
1209,Middle Queens,Middle Queens,Female,"100,000− 149,999",White,NO car,Other,Weekday,within,middle income,Others,No
1210,Middle Queens,Inner Queens,Female,"25,000− 34,999",Hispanic,NO car,Shopping,Weekday,outside,low income,Social,Yes
1211,Inner Queens,Manhattan Core,Male,"100,000− 149,999",Asian,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1212,Outer Queens,Outer Queens,Male,"200,000 and above",Asian,NO car,Social/recreation,Weekday,within,high income,Social,Yes
1213,Northern Manhattan,Manhattan Core,Female,"15,000− 24,999",Black,NO car,School,Weekend,outside,low income,Work/School,Yes
1214,Northern Bronx,Northern Bronx,Female,"Less than 14,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1215,Staten Island,Staten Island,Male,"100,000− 149,999",Asian,own car,Social/recreation,Weekend,within,middle income,Social,No
1216,Southern Bronx,Northern Bronx,Male,"Less than 14,999",Black,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1217,Manhattan Core,Middle Queens,Female,"15,000− 24,999",Hispanic,NO car,Personal errands,Weekend,outside,low income,Others,Yes
1218,Middle Queens,Outer Brooklyn,Female,"25,000− 34,999",Black,NO car,Other,Weekend,outside,low income,Others,Yes
1219,Outer Brooklyn,Inner Brooklyn,Male,"Less than 14,999",Other,NO car,Personal errands,Weekend,outside,low income,Others,Yes
1220,Inner Queens,Inner Queens,Male,"35,000− 49,999",White,NO car,Social/recreation,Weekend,within,low income,Social,Yes
1221,Southern Bronx,Southern Bronx,Male,"50,000 -  74,999",Hispanic,NO car,Shopping,Weekend,within,low income,Social,Yes
1222,Northern Manhattan,Manhattan Core,Female,"100,000− 149,999",White,NO car,Shopping,Weekend,outside,middle income,Social,Yes
1223,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Asian,NO car,Dining,Weekend,within,low income,Social,Yes
1224,Staten Island,Staten Island,Male,"100,000− 149,999",White,NO car,Commute to/from work,Weekend,within,middle income,Work/School,No
1225,Inner Queens,Middle Queens,Male," 75,000 -  99,999",White,own car,Commute to/from work,Weekend,outside,middle income,Work/School,No
1226,Northern Manhattan,Middle Queens,Female,"100,000− 149,999",White,own car,Business,Weekend,outside,middle income,Work/School,No
1227,Northern Bronx,Northern Bronx,Female,"35,000− 49,999",Other,own car,Personal errands,Weekend,within,low income,Others,Yes
1228,Outer Queens,Northern Bronx,Female,"25,000− 34,999",Asian,own car,Medical visit (doctor's office),Weekend,outside,low income,Others,Yes
1229,Northern Manhattan,Northern Manhattan,Female," 75,000 -  99,999",White,own car,Dining,Weekend,within,middle income,Social,Yes
1230,Southern Bronx,Manhattan Core,Female,"25,000− 34,999",Hispanic,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1231,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Dining,Weekend,within,middle income,Social,Yes
1232,Manhattan Core,Inner Queens,Female,"50,000 -  74,999",Asian,NO car,Shopping,Weekend,outside,low income,Social,Yes
1233,Manhattan Core,Inner Queens,Female,"35,000− 49,999",Black,own car,Personal errands,Weekend,outside,low income,Others,Yes
1234,Northern Bronx,Southern Bronx,Female,"50,000 -  74,999",Black,own car,Shopping,Weekend,outside,low income,Social,No
1235,Inner Brooklyn,Inner Brooklyn,Male,"25,000− 34,999",Black,NO car,Social/recreation,Weekend,within,low income,Social,No
1236,Staten Island,Staten Island,Male,"50,000 -  74,999",White,own car,Other,Weekend,within,low income,Others,No
1237,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,own car,Personal errands,Weekend,within,middle income,Others,No
1238,Staten Island,Staten Island,Female,"50,000 -  74,999",White,own car,Social/recreation,Weekend,within,low income,Social,No
1239,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Black,NO car,Social/recreation,Weekend,within,low income,Social,Yes
1240,Staten Island,Staten Island,Female,"15,000− 24,999",Hispanic,NO car,School,Weekend,within,low income,Work/School,Yes
1241,Manhattan Core,Middle Queens,Female,"15,000− 24,999",White,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1242,Middle Queens,Outer Queens,Male,"150,000− 199,999",Asian,own car,Other,Weekend,outside,high income,Others,No
1243,Middle Queens,Middle Queens,Female,"Less than 14,999",Asian,NO car,Personal errands,Weekend,within,low income,Others,Yes
1244,Inner Brooklyn,Middle Queens,Male,"25,000− 34,999",White,NO car,Other,Weekday,outside,low income,Others,Yes
1245,Northern Manhattan,Staten Island,Male,"150,000− 199,999",Hispanic,own car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
1246,Inner Queens,Inner Queens,Female,"35,000− 49,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
1247,Northern Manhattan,Northern Manhattan,Male,"50,000 -  74,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
1248,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Dining,Weekday,within,high income,Social,Yes
1249,Staten Island,Staten Island,Male,"200,000 and above",Asian,NO car,Shopping,Weekday,within,high income,Social,No
1250,Northern Manhattan,Northern Manhattan,Female,"50,000 -  74,999",White,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
1251,Staten Island,Staten Island,Female,"35,000− 49,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,No
1252,Middle Queens,Middle Queens,Female,"100,000− 149,999",Hispanic,own car,Other,Weekday,within,middle income,Others,Yes
1253,Staten Island,Staten Island,Female,"100,000− 149,999",Asian,own car,Personal errands,Weekday,within,middle income,Others,No
1254,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,NO car,Dining,Weekday,within,middle income,Social,Yes
1255,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,own car,Personal errands,Weekday,within,low income,Others,Yes
1256,Staten Island,Staten Island,Female,"200,000 and above",White,own car,Personal errands,Weekday,within,high income,Others,No
1257,Southern Bronx,Southern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
1258,Southern Bronx,Northern Bronx,Female,"35,000− 49,999",Black,NO car,Personal errands,Weekday,outside,low income,Others,No
1259,Inner Queens,Inner Queens,Female,"100,000− 149,999",White,own car,Shopping,Weekday,within,middle income,Social,No
1260,Staten Island,Staten Island,Female,"15,000− 24,999",Black,own car,Commute to/from work,Weekday,within,low income,Work/School,No
1261,Staten Island,Staten Island,Male,"100,000− 149,999",White,own car,Personal errands,Weekday,within,middle income,Others,No
1262,Staten Island,Manhattan Core,Female,"Less than 14,999",White,own car,Medical visit (doctor's office),Weekday,outside,low income,Others,Yes
1263,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Dining,Weekday,within,middle income,Social,Yes
1264,Manhattan Core,Manhattan Core,Female,"200,000 and above",Asian,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
1265,Northern Manhattan,Northern Manhattan,Male,"100,000− 149,999",Hispanic,own car,Personal errands,Weekday,within,middle income,Others,Yes
1266,Inner Queens,Inner Queens,Female,"35,000− 49,999",White,NO car,Personal errands,Weekday,within,low income,Others,Yes
1267,Northern Manhattan,Inner Queens,Female,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1268,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
1269,Manhattan Core,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1270,Outer Queens,Outer Queens,Male,"25,000− 34,999",Asian,own car,Commute to/from work,Weekday,within,low income,Work/School,No
1271,Middle Queens,Middle Queens,Male,"50,000 -  74,999",White,own car,Shopping,Weekday,within,low income,Social,No
1272,Middle Queens,Outer Brooklyn,Female," 75,000 -  99,999",Black,NO car,Other,Weekday,outside,middle income,Others,No
1273,Middle Queens,Manhattan Core,Female,"100,000− 149,999",Other,NO car,School,Weekday,outside,middle income,Work/School,Yes
1274,Manhattan Core,Northern Manhattan,Female,"35,000− 49,999",Asian,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1275,Northern Manhattan,Outer Queens,Female,"35,000− 49,999",Black,own car,Personal errands,Weekday,outside,low income,Others,No
1276,Manhattan Core,Northern Manhattan,Female,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1277,Manhattan Core,Manhattan Core,Female,"200,000 and above",White,NO car,Dining,Weekday,within,high income,Social,Yes
1278,Northern Manhattan,Northern Manhattan,Male,"50,000 -  74,999",Black,NO car,Personal errands,Weekday,within,low income,Others,Yes
1279,Southern Bronx,Northern Bronx,Male,"25,000− 34,999",Black,NO car,Personal errands,Weekday,outside,low income,Others,Yes
1280,Northern Manhattan,Manhattan Core,Female,"150,000− 199,999",White,NO car,Personal errands,Weekday,outside,high income,Others,Yes
1281,Manhattan Core,Middle Queens,Female," 75,000 -  99,999",White,NO car,Social/recreation,Weekday,outside,middle income,Social,Yes
1282,Middle Queens,Manhattan Core,Female," 75,000 -  99,999",Asian,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1283,Northern Bronx,Middle Queens,Male,"35,000− 49,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,outside,low income,Others,No
1284,Manhattan Core,Northern Manhattan,Female,"15,000− 24,999",White,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1285,Staten Island,Staten Island,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
1286,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",Black,NO car,Personal errands,Weekday,within,low income,Others,Yes
1287,Staten Island,Staten Island,Male,"50,000 -  74,999",White,NO car,Dining,Weekday,within,low income,Social,No
1288,Staten Island,Staten Island,Male,"50,000 -  74,999",White,own car,School,Weekday,within,low income,Work/School,No
1289,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",White,NO car,Other,Weekday,within,middle income,Others,Yes
1290,Northern Manhattan,Manhattan Core,Male,"35,000− 49,999",White,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1291,Northern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Other,Weekday,outside,low income,Others,No
1292,Manhattan Core,Manhattan Core,Female,"200,000 and above",White,NO car,Shopping,Weekday,within,high income,Social,Yes
1293,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,School,Weekday,within,high income,Work/School,No
1294,Manhattan Core,Northern Bronx,Female,"35,000− 49,999",Hispanic,NO car,School,Weekday,outside,low income,Work/School,Yes
1295,Inner Queens,Inner Queens,Female,"100,000− 149,999",White,own car,Shopping,Weekday,within,middle income,Social,Yes
1296,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",Asian,own car,Dining,Weekday,within,middle income,Social,Yes
1297,Outer Queens,Middle Queens,Male,"50,000 -  74,999",White,own car,Shopping,Weekday,outside,low income,Social,Yes
1298,Northern Manhattan,Northern Manhattan,Female,"100,000− 149,999",White,own car,Dining,Weekday,within,middle income,Social,No
1299,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Personal errands,Weekday,within,low income,Others,Yes
1300,Manhattan Core,Southern Bronx,Female,"35,000− 49,999",Black,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1301,Manhattan Core,Inner Queens,Male,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1302,Manhattan Core,Inner Queens,Female,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1303,Inner Queens,Inner Queens,Female," 75,000 -  99,999",Asian,own car,Business,Weekday,within,middle income,Work/School,Yes
1304,Manhattan Core,Northern Manhattan,Female,"150,000− 199,999",Asian,NO car,Personal errands,Weekday,outside,high income,Others,Yes
1305,Manhattan Core,Northern Manhattan,Male,"25,000− 34,999",Black,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1306,Manhattan Core,Manhattan Core,Male,"15,000− 24,999",White,NO car,Dining,Weekend,within,low income,Social,Yes
1307,Inner Queens,Inner Queens,Female,"150,000− 199,999",Asian,own car,Personal errands,Weekend,within,high income,Others,Yes
1308,Middle Queens,Inner Queens,Male," 75,000 -  99,999",Other,own car,Shopping,Weekend,outside,middle income,Social,Yes
1309,Manhattan Core,Inner Queens,Male,"25,000− 34,999",Asian,NO car,Dining,Weekend,outside,low income,Social,Yes
1310,Staten Island,Staten Island,Female,"25,000− 34,999",White,NO car,Shopping,Weekend,within,low income,Social,Yes
1311,Manhattan Core,Southern Bronx,Male,"35,000− 49,999",Black,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
1312,Outer Queens,Middle Queens,Female,"Less than 14,999",Asian,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1313,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Social/recreation,Weekend,within,middle income,Social,Yes
1314,Southern Bronx,Southern Bronx,Female,"25,000− 34,999",White,own car,Social/recreation,Weekend,within,low income,Social,Yes
1315,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Black,NO car,Social/recreation,Weekend,within,low income,Social,Yes
1316,Middle Queens,Middle Queens,Male,"150,000− 199,999",White,own car,Dining,Weekend,within,high income,Social,Yes
1317,Northern Bronx,Manhattan Core,Male,"35,000− 49,999",Black,NO car,Personal errands,Weekend,outside,low income,Others,Yes
1318,Staten Island,Staten Island,Male,"50,000 -  74,999",White,own car,Social/recreation,Weekend,within,low income,Social,No
1319,Middle Queens,Middle Queens,Male,"35,000− 49,999",White,own car,Shopping,Weekend,within,low income,Social,Yes
1320,Inner Queens,Middle Queens,Male,"15,000− 24,999",White,own car,Medical visit (doctor's office),Weekend,outside,low income,Others,Yes
1321,Manhattan Core,Northern Manhattan,Female,"15,000− 24,999",White,own car,Shopping,Weekend,outside,low income,Social,No
1322,Inner Queens,Inner Queens,Female,"50,000 -  74,999",White,NO car,Social/recreation,Weekend,within,low income,Social,Yes
1323,Southern Bronx,Northern Bronx,Male," 75,000 -  99,999",Hispanic,NO car,School,Weekday,outside,middle income,Work/School,Yes
1324,Middle Queens,Outer Queens,Female,"35,000− 49,999",Black,NO car,Personal errands,Weekday,outside,low income,Others,Yes
1325,Northern Bronx,Northern Bronx,Female,"35,000− 49,999",Black,NO car,Personal errands,Weekday,within,low income,Others,Yes
1326,Inner Brooklyn,Middle Queens,Female,"Less than 14,999",Asian,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1327,Staten Island,Staten Island,Female,"50,000 -  74,999",White,own car,Shopping,Weekday,within,low income,Social,No
1328,Southern Bronx,Manhattan Core,Female,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1329,Manhattan Core,Middle Queens,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1330,Manhattan Core,Inner Queens,Female,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1331,Outer Queens,Inner Queens,Male," 75,000 -  99,999",Black,own car,Commute to/from work,Weekday,outside,middle income,Work/School,No
1332,Middle Queens,Middle Queens,Female," 75,000 -  99,999",Asian,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
1333,Northern Bronx,Northern Bronx,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,No
1334,Northern Manhattan,Northern Manhattan,Male," 75,000 -  99,999",Hispanic,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
1335,Inner Queens,Inner Queens,Female,"50,000 -  74,999",Asian,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1336,Staten Island,Staten Island,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
1337,Outer Queens,Middle Queens,Female,"15,000− 24,999",White,NO car,Medical visit (doctor's office),Weekday,outside,low income,Others,No
1338,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
1339,Manhattan Core,Northern Manhattan,Male,"25,000− 34,999",White,NO car,Social/recreation,Weekday,outside,low income,Social,Yes
1340,Southern Bronx,Northern Bronx,Female,"35,000− 49,999",Asian,NO car,Medical visit (doctor's office),Weekday,outside,low income,Others,Yes
1341,Manhattan Core,Northern Bronx,Female,"35,000− 49,999",Black,NO car,Shopping,Weekday,outside,low income,Social,Yes
1342,Staten Island,Manhattan Core,Male,"100,000− 149,999",White,own car,Social/recreation,Weekend,outside,middle income,Social,No
1343,Outer Queens,Middle Queens,Male,"15,000− 24,999",Asian,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
1344,Outer Queens,Outer Queens,Female,"25,000− 34,999",Other,NO car,Dining,Weekend,within,low income,Social,No
1345,Inner Queens,Inner Queens,Female,"15,000− 24,999",White,own car,Dining,Weekend,within,low income,Social,Yes
1346,Northern Bronx,Southern Bronx,Female,"35,000− 49,999",Hispanic,NO car,Social/recreation,Weekend,outside,low income,Social,Yes
1347,Manhattan Core,Manhattan Core,Female,"15,000− 24,999",Other,NO car,Social/recreation,Weekday,within,low income,Social,Yes
1348,Northern Manhattan,Northern Manhattan,Male,"50,000 -  74,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
1349,Northern Manhattan,Southern Bronx,Female,"50,000 -  74,999",Asian,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1350,Northern Manhattan,Southern Bronx,Female,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1351,Middle Queens,Outer Queens,Female,"35,000− 49,999",Asian,NO car,Shopping,Weekday,outside,low income,Social,Yes
1352,Northern Bronx,Northern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
1353,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",Asian,NO car,Social/recreation,Weekday,within,low income,Social,Yes
1354,Middle Queens,Middle Queens,Female,"35,000− 49,999",Asian,own car,Business,Weekday,within,low income,Work/School,No
1355,Inner Brooklyn,Northern Manhattan,Female,"35,000− 49,999",Asian,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
1356,Northern Manhattan,Northern Manhattan,Female,"25,000− 34,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
1357,Manhattan Core,Manhattan Core,Male,"200,000 and above",Black,NO car,Other,Weekday,within,high income,Others,Yes
1358,Staten Island,Staten Island,Male,"150,000− 199,999",White,own car,Commute to/from work,Weekday,within,high income,Work/School,No
1359,Inner Brooklyn,Inner Brooklyn,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1360,Staten Island,Staten Island,Male,"100,000− 149,999",White,own car,Social/recreation,Weekday,within,middle income,Social,No
1361,Outer Queens,Outer Queens,Male," 75,000 -  99,999",Asian,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
1362,Manhattan Core,Inner Brooklyn,Male,"200,000 and above",Asian,NO car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
1363,Manhattan Core,Northern Bronx,Female,"100,000− 149,999",Black,own car,Social/recreation,Weekday,outside,middle income,Social,Yes
1364,Inner Brooklyn,Inner Brooklyn,Male,"Less than 14,999",Other,NO car,Shopping,Weekday,within,low income,Social,Yes
1365,Manhattan Core,Manhattan Core,Female,"150,000− 199,999",White,NO car,Business,Weekday,within,high income,Work/School,Yes
1366,Inner Brooklyn,Staten Island,Female,"200,000 and above",White,own car,Shopping,Weekday,outside,high income,Social,No
1367,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
1368,Middle Queens,Manhattan Core,Male,"100,000− 149,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,outside,middle income,Others,Yes
1369,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
1370,Manhattan Core,Manhattan Core,Male,"25,000− 34,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
1371,Northern Bronx,Northern Bronx,Female,"50,000 -  74,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
1372,Northern Bronx,Northern Bronx,Female,"35,000− 49,999",Hispanic,NO car,Personal errands,Weekday,within,low income,Others,No
1373,Staten Island,Staten Island,Female," 75,000 -  99,999",Hispanic,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
1374,Manhattan Core,Manhattan Core,Male,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1375,Middle Queens,Middle Queens,Female,"100,000− 149,999",White,NO car,Medical visit (doctor's office),Weekday,within,middle income,Others,Yes
1376,Staten Island,Staten Island,Female,"Less than 14,999",Black,NO car,Accompanying other traveler,Weekday,within,low income,Others,No
1377,Manhattan Core,Manhattan Core,Female,"25,000− 34,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
1378,Middle Queens,Middle Queens,Female,"50,000 -  74,999",Hispanic,own car,Personal errands,Weekday,within,low income,Others,Yes
1379,Northern Bronx,Northern Bronx,Male,"100,000− 149,999",White,own car,Dining,Weekday,within,middle income,Social,No
1380,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",Asian,own car,Personal errands,Weekday,within,middle income,Others,Yes
1381,Staten Island,Staten Island,Female,"15,000− 24,999",Asian,NO car,Other,Weekday,within,low income,Others,Yes
1382,Manhattan Core,Staten Island,Female," 75,000 -  99,999",White,own car,Medical visit (doctor's office),Weekday,outside,middle income,Others,Yes
1383,Middle Queens,Middle Queens,Female,"25,000− 34,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
1384,Inner Brooklyn,Middle Queens,Female,"Less than 14,999",White,own car,Personal errands,Weekday,outside,low income,Others,No
1385,Inner Brooklyn,Middle Queens,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
1386,Manhattan Core,Staten Island,Female,"50,000 -  74,999",White,own car,Dining,Weekday,outside,low income,Social,Yes
1387,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
1388,Inner Queens,Manhattan Core,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1389,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",Other,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
1390,Outer Queens,Outer Queens,Female,"50,000 -  74,999",White,own car,Shopping,Weekday,within,low income,Social,No
1391,Manhattan Core,Middle Queens,Female,"100,000− 149,999",Asian,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1392,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
1393,Outer Queens,Inner Queens,Male," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,No
1394,Manhattan Core,Middle Queens,Female,"200,000 and above",Asian,NO car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
1395,Northern Bronx,Southern Bronx,Female," 75,000 -  99,999",Black,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
1396,Manhattan Core,Inner Queens,Male,"35,000− 49,999",Other,own car,Personal errands,Weekday,outside,low income,Others,Yes
